Internal ID,ID,Name,Primary Parent vendor,Vendor Status,Vendor Type
64682,99112,Antler / TAX 49-1-541726057,902461 Antler Energy LLC - EFT,Approved,Local
64683,99113,Antler / Arnold 164-573911,902461 Antler Energy LLC - EFT,Approved,Local
64685,99114,Antler / TAC 500-525860-3483,902461 Antler Energy LLC - EFT,Approved,Local
64684,99115,Antler / Tartan 246-111367,902461 Antler Energy LLC - EFT,Approved,Local
64686,99116,Antler / Valero 164-246672,902461 Antler Energy LLC - EFT,Approved,Local
64687,99117,Antler / Bylo 164-579935,902461 Antler Energy LLC - EFT,Approved,Local
64622,99118,FM / WalMar 5-1-73052055058301,"99000 Fuel Masters, LLC",Approved,Local
64688,99119,FM / Motiva 2-12319311-1231932,"99000 Fuel Masters, LLC",Approved,Local
64689,99121,FM / Valero - 20014563-2001487,"99000 Fuel Masters, LLC",Approved,Local
64690,99122,FM / Wallis Valero - 16-50-583,"99000 Fuel Masters, LLC",Approved,Local
64691,99123,FM / Mara Global 05-01-6958010,"99000 Fuel Masters, LLC",Approved,Local
64692,99124,Wallis / Motiva - 20018421,"99070 Wallis Oil Co, Inc",Approved,Local
64693,99125,FM / Global - 12322996-2000752,"99000 Fuel Masters, LLC",Approved,Local
64694,99126,FM / Motiva - 2-12319311-12319,"99000 Fuel Masters, LLC",Approved,Local
64695,99127,FM / Valero - 16-50-576317,"99000 Fuel Masters, LLC",Approved,Local
56838,99200,Wallis / Exxon 453830-457393,"99070 Wallis Oil Co, Inc",Approved,Local
56664,99910,"Indigo Energy Partners, LLC",,Approved,Local
56660,99940,Musket Corporation,,Approved,Local
56885,99950,"NGL Crude Logistics, LLC",,Approved,Local
56662,99960,"Tartan Oil, LLC",,Approved,Local
56663,99970,US Oil Division of US Venture,,Approved,Local
56666,99990,Atlas Oil Company,,Approved,Local
58134,902461,Antler Energy LLC - EFT,,Approved,Local
